Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,candidate
1.6402820002014878e-27,4.2998760358228147e-26,5.421240601672451e-26,1.3283819380576744e-25,1.5003913129124462e-26,tour
0.0207974406343521,0.0014914007788902383,0.0027005382654631867,0.09001737754958196,0.5715551402128872,deher_lesaint_leopold_edouard
0.0028333110879830924,2.713295951512718e-4,0.13832191405077573,0.7469645310647656,0.015448710059931479,ponge_philippe
11.575615048081222,1.4591579932195224,1.6629246885670423,1.0397709346592237,0.09924248862821193,marechal_marion
11.59860980961576,4.561743966662867,0.42198405588895205,0.1405649949282529,2.426597040544722e-6,aubry_manon
2.7432466394468045,0.41505367006956245,22.014315922919184,6.502444175878956,0.029889046019458416,bardella_jordan
9.8837314063623,7.804762323030558,3.79121605885002,1.9348384843099003e-5,0.015352780332682876,toussaint_marie
0.24196010182834507,0.0393212326359557,0.05179870620253058,0.012544563585482782,2.304505524089047,azergui_nagib
2.241818048836929,0.805584181917456,5.339010545683682,6.35819333117192,0.36838993026364,thouy_helene
1.4362073232370034e-4,0.8222009513584465,0.049520602334776086,0.12771801852535428,0.03540847702728271,terrien_olivier
3.51294899778547,3.3131934281628044,0.4138786617315465,1.5028795444136172,1.6363649902306803,zorn_caroline
6.492061513502017,18.728005843143755,0.16948659840715594,1.3483580608306225,0.013222786530423856,hayer_valerie
0.24229366257828075,0.37549700018328425,0.5768473089918321,0.51496847107056265,0.07274188094564168,alexandre_audric
0.852254467649481,14.042711016745102,0.7606362437178046,0.359584748803046,0.16970902827444082,cholley_marine
1.4351682947962128,0.286134064654989,2.1088944872736053,0.6343184168141328,0.13854999907164345,wehrling_yann
0.9828829210898729,0.3413482156072072,7.67593516949125,4.994974993707343,0.01952035775500285,asselineau_francois
0.1586311658688811,0.061268340198607524,0.7531021432826399,0.5844973016826724,13.580416081710833,simonin_michel
9.563507223147499e-4,0.3312935789416805,0.0044712241458937894,0.5486312809676285,0.016937723053620814,fortane_jean_marc
12.559851817564885,4.445228664356111,0.3379592351210429,0.9231442064717836,0.026161315871631282,bellamy_francois_xavier
5.052576817859382,2.6700297553646273,1.6454082741515548,1.0132786637238187,0.5668050143221147,arthaud_nathalie
2.061720669593715,0.8926973096757435,0.19951012019129377,0.05969628071288267,3.1129241892402018,larrouturou_pierre
0.6947076136157598,0.0062132122229596395,0.7059058069345252,0.0619465412160602,1.3942940373599113,renard_kuzmanovic_georges
5.388689445213488,0.3332752181133745,0.22339151702526974,0.5154033498135685,0.3117995685122055,labib_selma
1.189123185703874,1.2570294693396542,0.08568836170370772,0.15225516394823996,0.053455204427769264,adoue_camille
0.0747642006705615,0.0030885125657774517,11.331292361861795,5.0468512301554895,0.02060467765234319,philippot_florian
3.556572549620214e-4,0.09110459250786417,0.08149275082203272,0.02476607149469664,0.0012198508147053375,husson_edouard
0.005900640402940487,0.4995763411416241,0.01020095626396642,0.42011322748988916,6.896778209337668,bonneau_pierre_marie
7.090660068712597,15.232220789707322,3.14699150715924,0.3767832184785505,0.187403382467904,glucksmann_raphael
0.2027753179165987,2.010954923174708,2.562942963330424,14.871680347910884,19.64489288672301,hoareau_charles
0.24423891510223736,0.7408441324350609,7.2363637141372505,1.5699936757234874,1.8418881574150732,lassalle_jean
0.018783024125537343,2.6486801576795327,0.0017619643169093065,0.24721392915044216,8.519056100243544,lalanne_francis
0.7920185142792286,5.159886662201445,0.4496969288899434,0.8557881088465127,0.07881052565806893,lacroix_guillaume
0.021028635259630574,0.6193975867522398,4.540450414373156,15.73545986818897,4.366308915286017,elmayan_lorys
10.47318070004214,0.06722390283382257,1.7104945023519016,0.15496264318396968,0.11875690119659474,deffontaines_leon
0.03431553175064267,1.9963864078914622,10.74062846621505,22.678686297974544,8.080461507992446,coste_meunier_gael
1.5848491180487505,6.587623105157412,1.5552584498941142,0.024171707362498903,1.0748141880402942,governatori_jean_marc
0.0026113982870928807,1.1820855680392635,6.729894558233283,9.235189805257196,21.156540573048368,traore_hamada
0.5134501068632665,0.033263288282558846,0.7191514919427637,0.5119881142898706,3.452689073510462,patas_d_illiers_laure
0.008445821114170112,0.13415186365167336,0.05047078527660781,0.014177454568649134,0.0070783500772615675,grude_patrice
